id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
8418,roteador sem sinal,o roteador da residencia nao esta fornecendo sinais wi fi impedindo o uso de internet nas redes moveis,roteador sem sinal o roteador da residencia nao esta fornecendo sinais wi fi impedindo o uso de internet nas redes moveis,Rede,Alta
8419,som desfavoravel do monitor,ola espero que estejam bem estou tentando resolver um problema de hardware e preciso saber se voce pode me ajudar com o seguinte quando tento ligar minha maquina desktop hoje pela manha percebi que a qualidade do som esta muito ruim e como se estivesse ouvindo por uma fita magnetizada isso nao estava acontecendo ontem a noite agradeco desde ja e aguardo sua resposta,som desfavoravel do monitor ola espero que estejam bem estou tentando resolver um problema de hardware e preciso saber se voce pode me ajudar com o seguinte quando tento ligar minha maquina desktop hoje pela manha percebi que a qualidade do som esta muito ruim e como se estivesse ouvindo por uma fita magnetizada isso nao estava acontecendo ontem a noite agradeco desde ja e aguardo sua resposta,Hardware,Media
8420,computador sem fornecimento eletrico,o computador esta conectado a tomada mas nao liga tentei verificar se a luz de alimentacao do adaptador estao ligadas e nada acontece,computador sem fornecimento eletrico o computador esta conectado a tomada mas nao liga tentei verificar se a luz de alimentacao do adaptador estao ligadas e nada acontece,Hardware,Baixa
8421,acesso a internet instavel,o meu provedor de internet apresenta tempos intermitentes o que dificulta trabalhos online e conferencias,acesso a internet instavel o meu provedor de internet apresenta tempos intermitentes o que dificulta trabalhos online e conferencias,Rede,Media
8422,computador esta lento,o computador de trabalho do usuario apresenta desempenho reduzido ao abrir aplicativos e navegar na internet ocorreu um recente update no sistema operacional mas as condicoes persistiram mesmo apos reiniciar,computador esta lento o computador de trabalho do usuario apresenta desempenho reduzido ao abrir aplicativos e navegar na internet ocorreu um recente update no sistema operacional mas as condicoes persistiram mesmo apos reiniciar,Hardware,Baixa
8423,suspeita contato automatico,recebi mensagens repetidas de uma pessoa que nao sou gostaria de desativa las,suspeita contato automatico recebi mensagens repetidas de uma pessoa que nao sou gostaria de desativa las,Comunicação,Baixa
8424,painel lcd nao funciona,o painel do monitor da minha laptop exibe uma tela azul e invisivel mas o computador esta ligado nao consegui acessar nenhum aplicativo ou sistema operacional,painel lcd nao funciona o painel do monitor da minha laptop exibe uma tela azul e invisivel mas o computador esta ligado nao consegui acessar nenhum aplicativo ou sistema operacional,Hardware,Baixa
8425,som barulhento ao ligar computador,a cada vez que tento iniciar o computador ha um som estridente anormal nao consigo determinar a origem do problema,som barulhento ao ligar computador a cada vez que tento iniciar o computador ha um som estridente anormal nao consigo determinar a origem do problema,Hardware,Media
8426,problemas de login no novo sistema,a equipe tecnica precisa resolver que alguns funcionarios estao tendo dificuldades para acessar o novo sistema gerencial apos treinamento eles conseguiram instala lo mas nao entendem por onde comecar com os login,problemas de login no novo sistema a equipe tecnica precisa resolver que alguns funcionarios estao tendo dificuldades para acessar o novo sistema gerencial apos treinamento eles conseguiram instala lo mas nao entendem por onde comecar com os login,Acesso,Baixa
8427,som barulhento apos atualizacao do sistema operacional,apos instalar as ultimas atualizacoes no meu pc percebi um som alto e persistente ajustei o volume mas nao resolveu alguem pode ajudar,som barulhento apos atualizacao do sistema operacional apos instalar as ultimas atualizacoes no meu pc percebi um som alto e persistente ajustei o volume mas nao resolveu alguem pode ajudar,Hardware,Media
8428,requerimento de senha,usuario informa que nao consegue recuperar sua senha e precisa redefinir mas esta relutante em fornecer as credenciais do perfil associado,requerimento de senha usuario informa que nao consegue recuperar sua senha e precisa redefinir mas esta relutante em fornecer as credenciais do perfil associado,Acesso,Baixa
8429,rede lenta,a internet esta muito mais lenta do que o esperado afetando atividades como streaming e downloads,rede lenta a internet esta muito mais lenta do que o esperado afetando atividades como streaming e downloads,Rede,Baixa
8430,conexao de internet intermitente,o usuario relata ter problemas esporadicos com sua conexao a internet onde a velocidade se reduz significativamente e o trafego esta constantemente lento,conexao de internet intermitente o usuario relata ter problemas esporadicos com sua conexao a internet onde a velocidade se reduz significativamente e o trafego esta constantemente lento,Rede,Baixa
8431,problemas de conexao wi fi,cliente relata que nao consegue se conectar ao seu roteador sem fio tem certeza das configuracoes corretas e ja limpeu o cache do navegador,problemas de conexao wi fi cliente relata que nao consegue se conectar ao seu roteador sem fio tem certeza das configuracoes corretas e ja limpeu o cache do navegador,Acesso,Baixa
8432,roteador de internet nao reconhece dispositivos,os computadores da casa estao conectados ao roteador mas sem receber acesso a internet o problema e intermitente e ocorre desde que os aparelhos sao reiniciados,roteador de internet nao reconhece dispositivos os computadores da casa estao conectados ao roteador mas sem receber acesso a internet o problema e intermitente e ocorre desde que os aparelhos sao reiniciados,Rede,Media
8433,email nao consegue enviar arquivo,eu tentei mandar uma mensagem de e mail com um arquivo docx mas ele parece estar sendo rejeitado devido a restricoes da conta isso acontece so para este documento especifico,email nao consegue enviar arquivo eu tentei mandar uma mensagem de e mail com um arquivo docx mas ele parece estar sendo rejeitado devido a restricoes da conta isso acontece so para este documento especifico,Comunicação,Media
8434,nao consegue entrar no sistema,o usuario informa que esta tentando usar o endereco de trabalho e nao consegue acessar as ferramentas necessarias para concluir sua tarefa ele menciona ter seguido os passos da documentacao mas sem sucesso,nao consegue entrar no sistema o usuario informa que esta tentando usar o endereco de trabalho e nao consegue acessar as ferramentas necessarias para concluir sua tarefa ele menciona ter seguido os passos da documentacao mas sem sucesso,Acesso,Media
8435,email nao alcanca o destinatario,ocorreu uma falha no envio de e mail onde ele e retido sem ser entregue ao endereco especificado,email nao alcanca o destinatario ocorreu uma falha no envio de e mail onde ele e retido sem ser entregue ao endereco especificado,Comunicação,Baixa
8436,risos do teclado,o meu teclado nao responde aos botoes algumas letras estao escuras ou clarinhas e os caracteres especiais nem sempre aparecem corretamente,risos do teclado o meu teclado nao responde aos botoes algumas letras estao escuras ou clarinhas e os caracteres especiais nem sempre aparecem corretamente,Hardware,Media
8437,problemas na impressao via web,tenho dificuldade de imprimir documentos pela internet ocorre uma pausa intermitente e apos o carregamento completo da imagem do papel a tela volta para meu trabalho anterior,problemas na impressao via web tenho dificuldade de imprimir documentos pela internet ocorre uma pausa intermitente e apos o carregamento completo da imagem do papel a tela volta para meu trabalho anterior,Comunicação,Baixa
8438,lancador automatico nao funciona,o programa de lancar aplicativos do computador por exemplo o windows explorer esta travando recordemos que a atualizacao foi feita recentemente,lancador automatico nao funciona o programa de lancar aplicativos do computador por exemplo o windows explorer esta travando recordemos que a atualizacao foi feita recentemente,Hardware,Baixa
8439,computador sem som,o computador esta ligando normalmente mas nao ha nenhum som verifique se o alto falante esta conectado corretamente e que a saida de audio estiver definida na configuracao do sistema,computador sem som o computador esta ligando normalmente mas nao ha nenhum som verifique se o alto falante esta conectado corretamente e que a saida de audio estiver definida na configuracao do sistema,Hardware,Baixa
8440,aplicativo nao abre,desde o ultimo atualizacao o aplicativo safestore trava quando tento inicia lo ocorreu antes de uma alteracao na versao,aplicativo nao abre desde o ultimo atualizacao o aplicativo safestore trava quando tento inicia lo ocorreu antes de uma alteracao na versao,Comunicação,Baixa
8441,problemas de autenticacao no portal,o usuario afirma ter tentado varias vezes mas nao consegue verificar suas credenciais e acessar o site do portal,problemas de autenticacao no portal o usuario afirma ter tentado varias vezes mas nao consegue verificar suas credenciais e acessar o site do portal,Acesso,Media
8442,problemas de login na plataforma,funcionario expressou dificuldade no processamento do login apesar de ter seguido o procedimento padrao para recuperacao da senha,problemas de login na plataforma funcionario expressou dificuldade no processamento do login apesar de ter seguido o procedimento padrao para recuperacao da senha,Acesso,Media
8443,motorola z3 ultimatel nao exibe tela,meu motorola z3 ultimel esta funcionando mas sempre que o encerro ele fica com a tela parada nao consigo entrar em configuracao para tentar solucionar,motorola z3 ultimatel nao exibe tela meu motorola z3 ultimel esta funcionando mas sempre que o encerro ele fica com a tela parada nao consigo entrar em configuracao para tentar solucionar,Hardware,Baixa
8444,painel grafico sobreaquecimento,o painel de exibicao esta apresentando altos niveis de temperatura ajustei o ventilador e tentei operar no modo lento para ver se melhora a situacao mas ainda estou preocupado com possiveis danos,painel grafico sobreaquecimento o painel de exibicao esta apresentando altos niveis de temperatura ajustei o ventilador e tentei operar no modo lento para ver se melhora a situacao mas ainda estou preocupado com possiveis danos,Hardware,Media
8445,caminhar no site,site da empresa nao carrega corretamente na versao movel ocorre desempenho lento e erros de acessibilidade,caminhar no site site da empresa nao carrega corretamente na versao movel ocorre desempenho lento e erros de acessibilidade,Comunicação,Media
8446,problemas de rede,somente o departamento it pode conectar a internet enquanto os outros departamentos estao em um mau desempenho,problemas de rede somente o departamento it pode conectar a internet enquanto os outros departamentos estao em um mau desempenho,Infraestrutura,Media
8447,sombra de rede,ha uma perda intermitente do sinal wi fi na quarta feira durante as ultimas duas semanas o problema parece ocorrer principalmente quando a cozinha e utilizada,sombra de rede ha uma perda intermitente do sinal wi fi na quarta feira durante as ultimas duas semanas o problema parece ocorrer principalmente quando a cozinha e utilizada,Rede,Baixa
8448,mouse sem resposta,o mouse nao esta respondendo ao clique ajustes no controlador parecem ter sido corretos anteriormente mas agora o problema reapareceu,mouse sem resposta o mouse nao esta respondendo ao clique ajustes no controlador parecem ter sido corretos anteriormente mas agora o problema reapareceu,Hardware,Baixa
8449,problemas de conexao wi fi,cliente reporta que tem dificuldade na ligacao ao servico de internet da sua empresa apesar de ja tentar reiniciar o roteador reivindicam suporte para resolver este problema,problemas de conexao wi fi cliente reporta que tem dificuldade na ligacao ao servico de internet da sua empresa apesar de ja tentar reiniciar o roteador reivindicam suporte para resolver este problema,Acesso,Baixa
8450,dificuldade de conexao wifi,funcionario relata que esta experimentando dificuldades intermitentes na conexao ao seu roteador sem fio apesar da rede parecer disponivel para outros dispositivos,dificuldade de conexao wifi funcionario relata que esta experimentando dificuldades intermitentes na conexao ao seu roteador sem fio apesar da rede parecer disponivel para outros dispositivos,Acesso,Baixa
8451,ventilador nao responde,o ventilador no computador esta quase parando mas o sistema ainda funciona ha um barulho estranho quando ajustamos o volume do som,ventilador nao responde o ventilador no computador esta quase parando mas o sistema ainda funciona ha um barulho estranho quando ajustamos o volume do som,Hardware,Media
8452,reparacao de monitor,todo o escritorio esta operacional mas esse individuo relata que seu monitor exibe tons azulado excessivos esta nao e uma emergencia e pode ser resolvida em um momento posterior,reparacao de monitor todo o escritorio esta operacional mas esse individuo relata que seu monitor exibe tons azulado excessivos esta nao e uma emergencia e pode ser resolvida em um momento posterior,Acesso,Baixa
8453,dificuldade na consulta,estamos enfrentando problemas intermitentes ao executar consultas no banco o que esta causando atrasos em nossas tarefas diarias,dificuldade na consulta estamos enfrentando problemas intermitentes ao executar consultas no banco o que esta causando atrasos em nossas tarefas diarias,Banco de Dados,Baixa
8454,problemas de conectividade wi fi,os funcionarios da unidade a tem problemas intermitentes ao se conectar a rede interna resultando em acesso limitado aos recursos online os sinais parecem estar fracos e os trafegos sao baixos,problemas de conectividade wi fi os funcionarios da unidade a tem problemas intermitentes ao se conectar a rede interna resultando em acesso limitado aos recursos online os sinais parecem estar fracos e os trafegos sao baixos,Infraestrutura,Baixa
8455,problemas de navegacao no site,usuario relata dificuldade na localizacao do recurso informacoes da empresa devido a uma possivel alteracao nas paginas,problemas de navegacao no site usuario relata dificuldade na localizacao do recurso informacoes da empresa devido a uma possivel alteracao nas paginas,Acesso,Baixa
8456,luz do teclado esta fraca,a luz no meu teclado led tem diminuido gradualmente ate agora a funcionalidade ainda e normal,luz do teclado esta fraca a luz no meu teclado led tem diminuido gradualmente ate agora a funcionalidade ainda e normal,Hardware,Baixa
8457,computador sem resposta,sempre que tento ligar o computador ele nao apresenta nenhum sinal o monitor e outros perifericos estao funcionando normalmente,computador sem resposta sempre que tento ligar o computador ele nao apresenta nenhum sinal o monitor e outros perifericos estao funcionando normalmente,Hardware,Media
8458,problemas de conectividade wifi,o cliente relata que o acesso a internet esta inconsistente e tem durado mais do que dois dias eles conseguem acessar algumas redes sem problemas mas ha um apagao intermitente em outras,problemas de conectividade wifi o cliente relata que o acesso a internet esta inconsistente e tem durado mais do que dois dias eles conseguem acessar algumas redes sem problemas mas ha um apagao intermitente em outras,Acesso,Baixa
8459,reencaminhamento de e mails nao funciona,ha problemas no reenvio automatico dos emails apos enviar um email ele acaba indo para a caixa de spam,reencaminhamento de e mails nao funciona ha problemas no reenvio automatico dos emails apos enviar um email ele acaba indo para a caixa de spam,Rede,Baixa
8460,problemas de autenticacao,usuario relatou falha ao autenticar se apos novos modulos serem implementados levando a interrupcoes na carga de trabalho,problemas de autenticacao usuario relatou falha ao autenticar se apos novos modulos serem implementados levando a interrupcoes na carga de trabalho,Acesso,Media
8461,problemas na impressao,a maioria das paginas da minha documentacao nao imprime corretamente deixando apenas o cabecalho e a rodape,problemas na impressao a maioria das paginas da minha documentacao nao imprime corretamente deixando apenas o cabecalho e a rodape,Comunicação,Baixa
8462,som no dispositivo android,recebi som alto de forma intermitente durante ligacoes ajustar o volume nao respondeu,som no dispositivo android recebi som alto de forma intermitente durante ligacoes ajustar o volume nao respondeu,Comunicação,Baixa
8463,acessando documentos,o usuario esta tentando abrir os arquivos da ultima reuniao mas o sistema diz que nao reconhece a pasta,acessando documentos o usuario esta tentando abrir os arquivos da ultima reuniao mas o sistema diz que nao reconhece a pasta,Acesso,Baixa
8464,computador sente se lento,o computador esta funcionando mas parece ter problemas de desempenho aumenta o uso da cpu e a memoria quando abre aplicativos,computador sente se lento o computador esta funcionando mas parece ter problemas de desempenho aumenta o uso da cpu e a memoria quando abre aplicativos,Hardware,Media
8465,ticket do banco,nao consigo iniciar uma sessao do banco ocorreu um erro e preciso recuperar o acesso para continuar meu trabalho,ticket do banco nao consigo iniciar uma sessao do banco ocorreu um erro e preciso recuperar o acesso para continuar meu trabalho,Banco de Dados,Media
8466,insuficiente privilegio de usuario,o cliente relata ter tentado executar um script do sistema mas recebe uma mensagem dizendo que nao possui as permissoes necessarias,insuficiente privilegio de usuario o cliente relata ter tentado executar um script do sistema mas recebe uma mensagem dizendo que nao possui as permissoes necessarias,Acesso,Baixa
8467,wi fi instaveis,meu wi fi e muito fraco e desconexoes frequentes afetando minha capacidade de trabalhar remotamente,wi fi instaveis meu wi fi e muito fraco e desconexoes frequentes afetando minha capacidade de trabalhar remotamente,Rede,Alta
8468,luz led piscar,a lampada no meu monitor esta piscando intermitentemente ajustar o brilho nao ajudou,luz led piscar a lampada no meu monitor esta piscando intermitentemente ajustar o brilho nao ajudou,Hardware,Baixa
8469,som de rede intermitente,aponte o dispositivo afetado e informe que ha uma frequencia irregular no sinal da internet causando a falta periodica do servico,som de rede intermitente aponte o dispositivo afetado e informe que ha uma frequencia irregular no sinal da internet causando a falta periodica do servico,Rede,Media
8470,som nos interrompe,o som de trabalho esta frequentemente cortado durante o expediente varios funcionarios relatam esse problema causando distracao e reduzindo a produtividade,som nos interrompe o som de trabalho esta frequentemente cortado durante o expediente varios funcionarios relatam esse problema causando distracao e reduzindo a produtividade,Comunicação,Media
8471,tratamento do e mail,ocorreu problema de envio no meu e mail a mensagem nao consegue transmitir o anexo,tratamento do e mail ocorreu problema de envio no meu e mail a mensagem nao consegue transmitir o anexo,Comunicação,Baixa
8472,problemas de conexao na rede,funcionario relata intermitencias nas redes wi fi no escritorio os problemas incluem travamento das aplicacoes e dificuldade em acessar o banco de dados remotamente,problemas de conexao na rede funcionario relata intermitencias nas redes wi fi no escritorio os problemas incluem travamento das aplicacoes e dificuldade em acessar o banco de dados remotamente,Acesso,Baixa
8473,sistema cronograma suspeitoso,voce notou que o cronometro da empresa nao esta sincronizado corretamente o horario de trabalho parece estar atrasado em alguns minutos,sistema cronograma suspeitoso voce notou que o cronometro da empresa nao esta sincronizado corretamente o horario de trabalho parece estar atrasado em alguns minutos,Infraestrutura,Media
8474,som barulhento do computador,o som que o pc faz e muito alto quando uso aplicativos de videoconferencia o ruido nao interfere com a funcao dos programas,som barulhento do computador o som que o pc faz e muito alto quando uso aplicativos de videoconferencia o ruido nao interfere com a funcao dos programas,Hardware,Baixa
8475,solucao de email,funcionario relata que nao consegue recuperar senha atraves do email e solicita ajuda para restabelecer acesso ao sistema,solucao de email funcionario relata que nao consegue recuperar senha atraves do email e solicita ajuda para restabelecer acesso ao sistema,Acesso,Baixa
8476,som barulhento,o computador esta funcionando mas ha uma notavel interferencia sonora algum equipamento proximo ou o sistema interno poderia ser a fonte,som barulhento o computador esta funcionando mas ha uma notavel interferencia sonora algum equipamento proximo ou o sistema interno poderia ser a fonte,Hardware,Baixa
8477,barramento usb nao reconhecido,inicialmente o meu computador funcionava normalmente no entanto recentemente percebi que um dos barramentos de entrada saida usb parou de ser detectado por mim mesmo e pelo sistema operacional,barramento usb nao reconhecido inicialmente o meu computador funcionava normalmente no entanto recentemente percebi que um dos barramentos de entrada saida usb parou de ser detectado por mim mesmo e pelo sistema operacional,Hardware,Media
8478,alimentador de energia falhando,o alimentador principal da instalacao industrial esta apresentando mau funcionamento causando interrupcoes no fornecimento continuo e prejuizos economicos,alimentador de energia falhando o alimentador principal da instalacao industrial esta apresentando mau funcionamento causando interrupcoes no fornecimento continuo e prejuizos economicos,Infraestrutura,Alta
8479,computador sem resposta,inicialmente o computador estava funcionando normalmente recentemente nao consigo liga lo e ele nem sequer liga quando tento,computador sem resposta inicialmente o computador estava funcionando normalmente recentemente nao consigo liga lo e ele nem sequer liga quando tento,Hardware,Media
8480,suspeita ataque ddos,reconhecimento de padrao suspeito no trafego da nossa rede interna indica potencial agressao por parte de um grupo distante estamos observando uma quantidade crescente e repetitiva de solicitacoes em varias direcoes ip,suspeita ataque ddos reconhecimento de padrao suspeito no trafego da nossa rede interna indica potencial agressao por parte de um grupo distante estamos observando uma quantidade crescente e repetitiva de solicitacoes em varias direcoes ip,Comunicação,Baixa
8481,problemas de conexao,o usuario relata ter problemas persistentes ao tentar se conectar a rede wi fi da empresa apesar das solucoes temporarias,problemas de conexao o usuario relata ter problemas persistentes ao tentar se conectar a rede wi fi da empresa apesar das solucoes temporarias,Acesso,Media
8482,agua fria no banheiro,estamos experimentando uma falta de agua quente na lavadora do apartamento podemos substituir por ar para a limpeza ate que seja resolvida,agua fria no banheiro estamos experimentando uma falta de agua quente na lavadora do apartamento podemos substituir por ar para a limpeza ate que seja resolvida,Infraestrutura,Baixa
8483,acesso restrito ao sistema,o usuario relata que apesar de estar cadastrado e ter as credenciais corretas nao consegue acessar o aplicativo do cliente devido a um erro na autenticacao,acesso restrito ao sistema o usuario relata que apesar de estar cadastrado e ter as credenciais corretas nao consegue acessar o aplicativo do cliente devido a um erro na autenticacao,Acesso,Media
8484,aplicativo de vendas bloqueando,o cliente relata que o aplicativo usado para gerenciamento dos pedidos esta trazendo erros ao tentar inserir novos itens na lista impedindo a realizacao das vendas,aplicativo de vendas bloqueando o cliente relata que o aplicativo usado para gerenciamento dos pedidos esta trazendo erros ao tentar inserir novos itens na lista impedindo a realizacao das vendas,Acesso,Alta
8485,relacao de velocidade reduzida,ha uma diminuicao perceptivel na velocidade da internet especialmente quando varios dispositivos estao conectados simultaneamente,relacao de velocidade reduzida ha uma diminuicao perceptivel na velocidade da internet especialmente quando varios dispositivos estao conectados simultaneamente,Rede,Media
8486,revisao de servidor,queriam saber quando o proximo intervalo da revisao do servidor esta programado para realizar,revisao de servidor queriam saber quando o proximo intervalo da revisao do servidor esta programado para realizar,Infraestrutura,Baixa
8487,problemas de conexao,o usuario relata problemas intermitentes ao tentar se conectar a rede wi fi da empresa as ligacoes estao lentas e ocasionalmente falham completamente,problemas de conexao o usuario relata problemas intermitentes ao tentar se conectar a rede wi fi da empresa as ligacoes estao lentas e ocasionalmente falham completamente,Acesso,Media
8488,alto volume sem controle,o alto falante nao responde ao mecanismo de controle do computador o volume permanece em maximo e o mudo tambem e ineficaz,alto volume sem controle o alto falante nao responde ao mecanismo de controle do computador o volume permanece em maximo e o mudo tambem e ineficaz,Hardware,Baixa
8489,alta prioridade sistema de gerenciamento da energia,o sistema de gerenciamento energetico do predio falhou durante a manha causando interrupcoes em equipamentos criticos precisa ser resolvido imediatamente para evitar impactos no funcionamento das operacoes,alta prioridade sistema de gerenciamento da energia o sistema de gerenciamento energetico do predio falhou durante a manha causando interrupcoes em equipamentos criticos precisa ser resolvido imediatamente para evitar impactos no funcionamento das operacoes,Infraestrutura,Alta
8490,incomodo na visualizacao de graficos,funcionario relata que tem problemas ao tentar visualizar dados em um grafico especifico apontando desalinhamento e cores incorretas,incomodo na visualizacao de graficos funcionario relata que tem problemas ao tentar visualizar dados em um grafico especifico apontando desalinhamento e cores incorretas,Acesso,Baixa
8491,acessorio usb nao reconhecido,instalei o periferico novamente mas ele continua sem ser detectado pelo sistema operacional esta funcionando em outro computador,acessorio usb nao reconhecido instalei o periferico novamente mas ele continua sem ser detectado pelo sistema operacional esta funcionando em outro computador,Hardware,Baixa
8492,wi fi instavel,ocorre uma perda de conexao intermitente no wi fi afetando apenas algumas estacoes dentro da casa,wi fi instavel ocorre uma perda de conexao intermitente no wi fi afetando apenas algumas estacoes dentro da casa,Rede,Baixa
8493,problema de conexao semelhante ao cafe,o usuario informa ter tentado fazer login no sistema varias vezes mas continuamente falha ele menciona que tudo funciona normalmente em casa e suspeita do atual hardware de trabalho,problema de conexao semelhante ao cafe o usuario informa ter tentado fazer login no sistema varias vezes mas continuamente falha ele menciona que tudo funciona normalmente em casa e suspeita do atual hardware de trabalho,Acesso,Baixa
8494,sistema de monitoramento lento,o sistema utilizado para monitorar o status dos equipamentos da rede apresenta problemas recorrentes exibindo leituras atrasadas e inconsistencias,sistema de monitoramento lento o sistema utilizado para monitorar o status dos equipamentos da rede apresenta problemas recorrentes exibindo leituras atrasadas e inconsistencias,Infraestrutura,Baixa
8495,bateria do laptop nao carregando,soube que minha bateria esta esgotada e tentei conecta la em outro computador mas nada aconteceu acredito estar com uma peca defeituosa,bateria do laptop nao carregando soube que minha bateria esta esgotada e tentei conecta la em outro computador mas nada aconteceu acredito estar com uma peca defeituosa,Hardware,Media
8496,video recorde e reproducao no laptop,ola estou tentando gravar uma apresentacao usando o aplicativo office video em meu computador portatil da lenovo thinkpad no entanto nao consigo obter um video claro e esta muito distorcido no final do processo de recorte,video recorde e reproducao no laptop ola estou tentando gravar uma apresentacao usando o aplicativo office video em meu computador portatil da lenovo thinkpad no entanto nao consigo obter um video claro e esta muito distorcido no final do processo de recorte,Hardware,Baixa
8497,problemas de conexao wifi,a equipe reporta que tem dificuldade intermitente na ligacao do seu laptop ao acesso wi fi da empresa apesar das configuracoes parecerem corretas,problemas de conexao wifi a equipe reporta que tem dificuldade intermitente na ligacao do seu laptop ao acesso wi fi da empresa apesar das configuracoes parecerem corretas,Acesso,Baixa
8498,login falhou devido a senha,funcionario tentou acessar o sistema mas recebeu erro de login confunde se precisa ou nao atualizar senha,login falhou devido a senha funcionario tentou acessar o sistema mas recebeu erro de login confunde se precisa ou nao atualizar senha,Acesso,Media
8499,placa grafica apresentando artefatos,eu estava usando o meu computador e percebi que as imagens estao exibindo artefatos geometricos a tela parece ter linhas e desfoque ao rolar a janela,placa grafica apresentando artefatos eu estava usando o meu computador e percebi que as imagens estao exibindo artefatos geometricos a tela parece ter linhas e desfoque ao rolar a janela,Hardware,Baixa
8500,suporte de infraestrutura,a estacao de tratamento de agua local apresentou um sinal vermelho em seu monitor mas as operacoes continuam normais,suporte de infraestrutura a estacao de tratamento de agua local apresentou um sinal vermelho em seu monitor mas as operacoes continuam normais,Infraestrutura,Baixa
8501,servico de navegacao dificultada,os funcionarios do setor logistico estao enfrentando problemas em navegar pelos mapas online da empresa resultando na necessidade de assistencia manual para o planejamento das rotas,servico de navegacao dificultada os funcionarios do setor logistico estao enfrentando problemas em navegar pelos mapas online da empresa resultando na necessidade de assistencia manual para o planejamento das rotas,Infraestrutura,Baixa
8502,login falho,funcionario tentando logar no sistema informa que esta recebendo erro de autenticacao pretende usar o processo padrao para recuperacao de senha,login falho funcionario tentando logar no sistema informa que esta recebendo erro de autenticacao pretende usar o processo padrao para recuperacao de senha,Acesso,Media
8503,sistema de vendas nao responde,funcionario relatou que o sistema de vendas nao responde quando clicado mas os outros sistemas operacionais estao funcionando corretamente,sistema de vendas nao responde funcionario relatou que o sistema de vendas nao responde quando clicado mas os outros sistemas operacionais estao funcionando corretamente,Acesso,Baixa
8504,problema ssl,ocorreu falha no certificado ssl ao tentar abrir uma pagina da internet exibindo um erro de seguranca,problema ssl ocorreu falha no certificado ssl ao tentar abrir uma pagina da internet exibindo um erro de seguranca,Comunicação,Baixa
8505,computador desligando spontaneamente,meu computador de trabalho comeca a reiniciar sozinho isso ocorre varias vezes ao dia e estamos atrasados em muitas tarefas cruciais,computador desligando spontaneamente meu computador de trabalho comeca a reiniciar sozinho isso ocorre varias vezes ao dia e estamos atrasados em muitas tarefas cruciais,Hardware,Alta
8506,computador sem resposta,o computador nao se liga apos reiniciar o sistema o monitor esta ligado e as outras estacoes estao funcionando corretamente,computador sem resposta o computador nao se liga apos reiniciar o sistema o monitor esta ligado e as outras estacoes estao funcionando corretamente,Hardware,Media
8507,roteamento de dns,ocorre uma travessia constante do roteador causando lentidao na navegacao solucoes alternativas tambem nao funcionam,roteamento de dns ocorre uma travessia constante do roteador causando lentidao na navegacao solucoes alternativas tambem nao funcionam,Rede,Baixa
8508,painel de controle sem resposta,o painel que controla os sistemas da empresa nao esta respondendo quando tentado acessa lo via web,painel de controle sem resposta o painel que controla os sistemas da empresa nao esta respondendo quando tentado acessa lo via web,Infraestrutura,Baixa
8509,solucao de senha nao encontrada,o usuario reporta que nao consegue encontrar uma senha valida apos tentativas de recuperacao multipla siga as etapas recomendadas para acesso ao sistema,solucao de senha nao encontrada o usuario reporta que nao consegue encontrar uma senha valida apos tentativas de recuperacao multipla siga as etapas recomendadas para acesso ao sistema,Acesso,Media
8510,login falhou,o cliente tentou acessar o portal de e mail mas nao conseguiu inserir as credenciais corretamente a senha parece estar escrita incorretamente,login falhou o cliente tentou acessar o portal de e mail mas nao conseguiu inserir as credenciais corretamente a senha parece estar escrita incorretamente,Acesso,Baixa
8511,rede de casa instavel,atraves do ultimo mes observamos flutuacoes na velocidade da internet e desconexoes frequentes a rede e mais lenta no fim de semana e as vezes esta completamente indisponivel apos horas de uso continuo,rede de casa instavel atraves do ultimo mes observamos flutuacoes na velocidade da internet e desconexoes frequentes a rede e mais lenta no fim de semana e as vezes esta completamente indisponivel apos horas de uso continuo,Rede,Media
8512,banco de dados lento,a operacao no banco de dados esta significativamente mais devagar do que o normal afetando a eficiencia das atividades comerciais,banco de dados lento a operacao no banco de dados esta significativamente mais devagar do que o normal afetando a eficiencia das atividades comerciais,Banco de Dados,Alta
8513,problema na impressao,a impressora da empresa nao esta funcionando ajustes feitos anteriormente falharam e ela continua sem imprimir nenhum documento,problema na impressao a impressora da empresa nao esta funcionando ajustes feitos anteriormente falharam e ela continua sem imprimir nenhum documento,Comunicação,Baixa
8514,computador sem energia,maquina de trabalho apresenta problema nao liga apertei o botao power varias vezes e nada aconteceu,computador sem energia maquina de trabalho apresenta problema nao liga apertei o botao power varias vezes e nada aconteceu,Hardware,Baixa
8515,taxa de transferencia sobrecarregada,estamos vendo uma diminuicao na velocidade da internet durante horarios pico ocorre interrupcoes no acesso as aplicacoes corporativas e alguns clientes tem dificuldades para fazer chamadas voip,taxa de transferencia sobrecarregada estamos vendo uma diminuicao na velocidade da internet durante horarios pico ocorre interrupcoes no acesso as aplicacoes corporativas e alguns clientes tem dificuldades para fazer chamadas voip,Infraestrutura,Media
8516,troca de chave do lock,o cliente relatou que precisa substituir uma nova chave de um bloco de apartamento o objetivo e garantir acesso seguro e permitir o uso normal das instalacoes,troca de chave do lock o cliente relatou que precisa substituir uma nova chave de um bloco de apartamento o objetivo e garantir acesso seguro e permitir o uso normal das instalacoes,Acesso,Baixa
